Total,2,3,4,5,6,7,8,9,10,A
A9,S,S,S,S,S,S,S,S,S,S
A8,S,S,S,S,S,Ds,S,S,S,S
A7,Ds,Ds,Ds,Ds,Ds,S,S,S,S,S
A6,D,D,D,D,D,D,H,H,H,H
A5,H,H,D,D,D,H,H,H,H,H
A4,H,H,D,D,D,H,H,H,H,H
A3,H,H,H,D,D,H,H,H,H,H
A2,H,H,H,D,D,H,H,H,H,H
